"county","cbsa10","cbsatype10","cntyname","cbsaname10","pop10","afact"
"county","cbsa10","cbsatype10","cntyname","2010 CBSA Name","Total Pop, 2010 census","county to cbsatype10 alloc factor"
"29195","32180","Micro","Saline MO","Marshall, MO Micropolitan Statistical Area",23370,1 
"29197","28860","Micro","Schuyler MO","Kirksville, MO Micropolitan Statistical Area",4431,1 
"29199","99999"," ","Scotland MO","99999",4843,1 
"29201","43460","Micro","Scott MO","Sikeston, MO Micropolitan Statistical Area",39191,1 
"29203","99999"," ","Shannon MO","99999",8441,1 
"29205","99999"," ","Shelby MO","99999",6373,1 
"29207","99999"," ","Stoddard MO","99999",29968,1 
"29209","14700","Micro","Stone MO","Branson, MO Micropolitan Statistical Area",32202,1 
"29211","99999"," ","Sullivan MO","99999",6714,1 
"29213","14700","Micro","Taney MO","Branson, MO Micropolitan Statistical Area",51675,1 
"29215","99999"," ","Texas MO","99999",26008,1 
"29217","99999"," ","Vernon MO","99999",21159,1 
"29219","41180","Metro","Warren MO","St. Louis, MO-IL Metropolitan Statistical Area",32513,1 
"29221","41180","Metro","Washington MO","St. Louis, MO-IL Metropolitan Statistical Area",25195,1 
"29223","99999"," ","Wayne MO","99999",13521,1 
"29225","44180","Metro","Webster MO","Springfield, MO Metropolitan Statistical Area",36202,1 
"29227","99999"," ","Worth MO","99999",2171,1 
"29229","99999"," ","Wright MO","99999",18815,1 
"29510","41180","Metro","St. Louis city MO","St. Louis, MO-IL Metropolitan Statistical Area",319294,1 
"30001","99999"," ","Beaverhead MT","99999",9246,1 
"30003","99999"," ","Big Horn MT","99999",12865,1 
"30005","99999"," ","Blaine MT","99999",6491,1 
"30007","99999"," ","Broadwater MT","99999",5612,1 
"30009","13740","Metro","Carbon MT","Billings, MT Metropolitan Statistical Area",10078,1 
"30011","99999"," ","Carter MT","99999",1160,1 
"30013","24500","Metro","Cascade MT","Great Falls, MT Metropolitan Statistical Area",81327,1 
"30015","99999"," ","Chouteau MT","99999",5813,1 
"30017","99999"," ","Custer MT","99999",11699,1 
"30019","99999"," ","Daniels MT","99999",1751,1 
"30021","99999"," ","Dawson MT","99999",8966,1 
"30023","99999"," ","Deer Lodge MT","99999",9298,1 
"30025","99999"," ","Fallon MT","99999",2890,1 
"30027","99999"," ","Fergus MT","99999",11586,1 
"30029","28060","Micro","Flathead MT","Kalispell, MT Micropolitan Statistical Area",90928,1 
"30031","14580","Micro","Gallatin MT","Bozeman, MT Micropolitan Statistical Area",89513,1 
"30033","99999"," ","Garfield MT","99999",1206,1 
"30035","99999"," ","Glacier MT","99999",13399,1 
"30037","99999"," ","Golden Valley MT","99999",884,1 
"30039","99999"," ","Granite MT","99999",3079,1 
"30041","25660","Micro","Hill MT","Havre, MT Micropolitan Statistical Area",16096,1 
"30043","25740","Micro","Jefferson MT","Helena, MT Micropolitan Statistical Area",11406,1 
"30045","99999"," ","Judith Basin MT","99999",2072,1 
"30047","99999"," ","Lake MT","99999",28746,1 
"30049","25740","Micro","Lewis and Clark MT","Helena, MT Micropolitan Statistical Area",63395,1 
"30051","99999"," ","Liberty MT","99999",2339,1 
"30053","99999"," ","Lincoln MT","99999",19687,1 
"30055","99999"," ","McCone MT","99999",1734,1 
"30057","99999"," ","Madison MT","99999",7691,1 
"30059","99999"," ","Meagher MT","99999",1891,1 
"30061","99999"," ","Mineral MT","99999",4223,1 
"30063","33540","Metro","Missoula MT","Missoula, MT Metropolitan Statistical Area",109299,1 
"30065","99999"," ","Musselshell MT","99999",4538,1 
"30067","99999"," ","Park MT","99999",15636,1 
"30069","99999"," ","Petroleum MT","99999",494,1 
"30071","99999"," ","Phillips MT","99999",4253,1 
"30073","99999"," ","Pondera MT","99999",6153,1 
"30075","99999"," ","Powder River MT","99999",1743,1 
"30077","99999"," ","Powell MT","99999",7027,1 
"30079","99999"," ","Prairie MT","99999",1179,1 
"30081","99999"," ","Ravalli MT","99999",40212,1 
"30083","99999"," ","Richland MT","99999",9746,1 
"30085","99999"," ","Roosevelt MT","99999",10425,1 
"30087","99999"," ","Rosebud MT","99999",9233,1 
"30089","99999"," ","Sanders MT","99999",11413,1 
"30091","99999"," ","Sheridan MT","99999",3384,1 
"30093","15580","Micro","Silver Bow MT","Butte-Silver Bow, MT Micropolitan Statistical Area",34200,1 
"30095","99999"," ","Stillwater MT","99999",9117,1 
"30097","99999"," ","Sweet Grass MT","99999",3651,1 
"30099","99999"," ","Teton MT","99999",6073,1 
"30101","99999"," ","Toole MT","99999",5324,1 
"30103","99999"," ","Treasure MT","99999",718,1 
"30105","99999"," ","Valley MT","99999",7369,1 
"30107","99999"," ","Wheatland MT","99999",2168,1 
"30109","99999"," ","Wibaux MT","99999",1017,1 
"30111","13740","Metro","Yellowstone MT","Billings, MT Metropolitan Statistical Area",147972,1 
"31001","25580","Micro","Adams NE","Hastings, NE Micropolitan Statistical Area",31364,1 
"31003","99999"," ","Antelope NE","99999",6685,1 
"31005","99999"," ","Arthur NE","99999",460,1 
"31007","42420","Micro","Banner NE","Scottsbluff, NE Micropolitan Statistical Area",690,1 
"31009","99999"," ","Blaine NE","99999",478,1 
"31011","99999"," ","Boone NE","99999",5505,1 
"31013","99999"," ","Box Butte NE","99999",11308,1 
"31015","99999"," ","Boyd NE","99999",2099,1 
"31017","99999"," ","Brown NE","99999",3145,1 
"31019","28260","Micro","Buffalo NE","Kearney, NE Micropolitan Statistical Area",46102,1 
"31021","99999"," ","Burt NE","99999",6858,1 
"31023","99999"," ","Butler NE","99999",8395,1 
"31025","36540","Metro","Cass NE","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",25241,1 
"31027","99999"," ","Cedar NE","99999",8852,1 
"31029","99999"," ","Chase NE","99999",3966,1 
"31031","99999"," ","Cherry NE","99999",5713,1 
"31033","99999"," ","Cheyenne NE","99999",9998,1 
"31035","25580","Micro","Clay NE","Hastings, NE Micropolitan Statistical Area",6542,1 
"31037","99999"," ","Colfax NE","99999",10515,1 
"31039","99999"," ","Cuming NE","99999",9139,1 
"31041","99999"," ","Custer NE","99999",10939,1 
"31043","43580","Metro","Dakota NE","Sioux City, IA-NE-SD Metropolitan Statistical Area",21006,1 
"31045","99999"," ","Dawes NE","99999",9182,1 
"31047","30420","Micro","Dawson NE","Lexington, NE Micropolitan Statistical Area",24326,1 
"31049","99999"," ","Deuel NE","99999",1941,1 
"31051","43580","Metro","Dixon NE","Sioux City, IA-NE-SD Metropolitan Statistical Area",6000,1 
"31053","23340","Micro","Dodge NE","Fremont, NE Micropolitan Statistical Area",36691,1 
"31055","36540","Metro","Douglas NE","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",517110,1 
"31057","99999"," ","Dundy NE","99999",2008,1 
"31059","99999"," ","Fillmore NE","99999",5890,1 
"31061","99999"," ","Franklin NE","99999",3225,1 
"31063","99999"," ","Frontier NE","99999",2756,1 
"31065","99999"," ","Furnas NE","99999",4959,1 
"31067","13100","Micro","Gage NE","Beatrice, NE Micropolitan Statistical Area",22311,1 
"31069","99999"," ","Garden NE","99999",2057,1 
"31071","99999"," ","Garfield NE","99999",2049,1 
"31073","30420","Micro","Gosper NE","Lexington, NE Micropolitan Statistical Area",2044,1 
"31075","99999"," ","Grant NE","99999",614,1 
"31077","99999"," ","Greeley NE","99999",2538,1 
"31079","24260","Micro","Hall NE","Grand Island, NE Micropolitan Statistical Area",58607,1 
"31081","99999"," ","Hamilton NE","99999",9124,1 
"31083","99999"," ","Harlan NE","99999",3423,1 
"31085","99999"," ","Hayes NE","99999",967,1 
"31087","99999"," ","Hitchcock NE","99999",2908,1 
"31089","99999"," ","Holt NE","99999",10435,1 
"31091","99999"," ","Hooker NE","99999",736,1 
"31093","24260","Micro","Howard NE","Grand Island, NE Micropolitan Statistical Area",6274,1 
"31095","99999"," ","Jefferson NE","99999",7547,1 
"31097","99999"," ","Johnson NE","99999",5217,1 
"31099","28260","Micro","Kearney NE","Kearney, NE Micropolitan Statistical Area",6489,1 
"31101","99999"," ","Keith NE","99999",8368,1 
"31103","99999"," ","Keya Paha NE","99999",824,1 
"31105","99999"," ","Kimball NE","99999",3821,1 
"31107","99999"," ","Knox NE","99999",8701,1 
"31109","30700","Metro","Lancaster NE","Lincoln, NE Metropolitan Statistical Area",285407,1 
"31111","35820","Micro","Lincoln NE","North Platte, NE Micropolitan Statistical Area",36288,1 
"31113","35820","Micro","Logan NE","North Platte, NE Micropolitan Statistical Area",763,1 
"31115","99999"," ","Loup NE","99999",632,1 
"31117","35820","Micro","McPherson NE","North Platte, NE Micropolitan Statistical Area",539,1 
"31119","35740","Micro","Madison NE","Norfolk, NE Micropolitan Statistical Area",34876,1 
"31121","24260","Micro","Merrick NE","Grand Island, NE Micropolitan Statistical Area",7845,1 
"31123","99999"," ","Morrill NE","99999",5042,1 
"31125","99999"," ","Nance NE","99999",3735,1 
"31127","99999"," ","Nemaha NE","99999",7248,1 
"31129","99999"," ","Nuckolls NE","99999",4500,1 
"31131","99999"," ","Otoe NE","99999",15740,1 
"31133","99999"," ","Pawnee NE","99999",2773,1 
"31135","99999"," ","Perkins NE","99999",2970,1 
"31137","99999"," ","Phelps NE","99999",9188,1 
"31139","35740","Micro","Pierce NE","Norfolk, NE Micropolitan Statistical Area",7266,1 
"31141","18100","Micro","Platte NE","Columbus, NE Micropolitan Statistical Area",32237,1 
"31143","99999"," ","Polk NE","99999",5406,1 
"31145","99999"," ","Red Willow NE","99999",11055,1 
"31147","99999"," ","Richardson NE","99999",8363,1 
"31149","99999"," ","Rock NE","99999",1526,1 
"31151","99999"," ","Saline NE","99999",14200,1 
"31153","36540","Metro","Sarpy NE","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",158840,1 
"31155","36540","Metro","Saunders NE","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",20780,1 
"31157","42420","Micro","Scotts Bluff NE","Scottsbluff, NE Micropolitan Statistical Area",36970,1 
"31159","30700","Metro","Seward NE","Lincoln, NE Metropolitan Statistical Area",16750,1 
"31161","99999"," ","Sheridan NE","99999",5469,1 
"31163","99999"," ","Sherman NE","99999",3152,1 
"31165","99999"," ","Sioux NE","99999",1311,1 
"31167","35740","Micro","Stanton NE","Norfolk, NE Micropolitan Statistical Area",6129,1 
"31169","99999"," ","Thayer NE","99999",5228,1 
"31171","99999"," ","Thomas NE","99999",647,1 
"31173","99999"," ","Thurston NE","99999",6940,1 
"31175","99999"," ","Valley NE","99999",4260,1 
"31177","36540","Metro","Washington NE","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",20234,1 
"31179","99999"," ","Wayne NE","99999",9595,1 
"31181","99999"," ","Webster NE","99999",3812,1 
"31183","99999"," ","Wheeler NE","99999",818,1 
"31185","99999"," ","York NE","99999",13665,1 
"32001","21980","Micro","Churchill NV","Fallon, NV Micropolitan Statistical Area",24877,1 
"32003","29820","Metro","Clark NV","Las Vegas-Paradise, NV Metropolitan Statistical Area",1951269,1 
"32005","23820","Micro","Douglas NV","Gardnerville Ranchos, NV Micropolitan Statistical Area",46997,1 
"32007","21220","Micro","Elko NV","Elko, NV Micropolitan Statistical Area",48818,1 
"32009","99999"," ","Esmeralda NV","99999",783,1 
"32011","21220","Micro","Eureka NV","Elko, NV Micropolitan Statistical Area",1987,1 
"32013","99999"," ","Humboldt NV","99999",16528,1 
"32015","99999"," ","Lander NV","99999",5775,1 
"32017","99999"," ","Lincoln NV","99999",5345,1 
"32019","22280","Micro","Lyon NV","Fernley, NV Micropolitan Statistical Area",51980,1 
"32021","99999"," ","Mineral NV","99999",4772,1 
"32023","37220","Micro","Nye NV","Pahrump, NV Micropolitan Statistical Area",43946,1 
"32027","99999"," ","Pershing NV","99999",6753,1 
"32029","39900","Metro","Storey NV","Reno-Sparks, NV Metropolitan Statistical Area",4010,1 
"32031","39900","Metro","Washoe NV","Reno-Sparks, NV Metropolitan Statistical Area",421407,1 
"32033","99999"," ","White Pine NV","99999",10030,1 
"32510","16180","Metro","Carson City NV","Carson City, NV Metropolitan Statistical Area",55274,1 
"33001","29060","Micro","Belknap NH","Laconia, NH Micropolitan Statistical Area",60088,1 
"33003","99999"," ","Carroll NH","99999",47818,1 
"33005","28300","Micro","Cheshire NH","Keene, NH Micropolitan Statistical Area",77117,1 
"33007","13620","Micro","Coos NH","Berlin, NH-VT Micropolitan Statistical Area",33055,1 
"33009","30100","Micro","Grafton NH","Lebanon, NH-VT Micropolitan Statistical Area",89118,1 
"33011","31700","Metro","Hillsborough NH","Manchester-Nashua, NH Metropolitan Statistical Area",400721,1 
"33013","18180","Micro","Merrimack NH","Concord, NH Micropolitan Statistical Area",146445,1 
"33015","14460","Metro","Rockingham NH","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",295223,1 
"33017","14460","Metro","Strafford NH","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",123143,1 
"33019","17200","Micro","Sullivan NH","Claremont, NH Micropolitan Statistical Area",43742,1 
"34001","12100","Metro","Atlantic NJ","Atlantic City-Hammonton, NJ Metropolitan Statistical Area",274549,1 
"34003","35620","Metro","Bergen NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",905116,1 
"34005","37980","Metro","Burlington NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",448734,1 
"34007","37980","Metro","Camden NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",513657,1 
"34009","36140","Metro","Cape May NJ","Ocean City, NJ Metropolitan Statistical Area",97265,1 
"34011","47220","Metro","Cumberland NJ","Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area",156898,1 
"34013","35620","Metro","Essex NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",783969,1 
"34015","37980","Metro","Gloucester NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",288288,1 
"34017","35620","Metro","Hudson NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",634266,1 
"34019","35620","Metro","Hunterdon NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",128349,1 
"34021","45940","Metro","Mercer NJ","Trenton-Ewing, NJ Metropolitan Statistical Area",366513,1 
"34023","35620","Metro","Middlesex NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",809858,1 
"34025","35620","Metro","Monmouth NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",630380,1 
"34027","35620","Metro","Morris NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",492276,1 
"34029","35620","Metro","Ocean NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",576567,1 
"34031","35620","Metro","Passaic NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",501226,1 
"34033","37980","Metro","Salem NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",66083,1 
"34035","35620","Metro","Somerset NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",323444,1 
"34037","35620","Metro","Sussex NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",149265,1 
"34039","35620","Metro","Union NJ","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",536499,1 
"34041","10900","Metro","Warren NJ","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",108692,1 
"35001","10740","Metro","Bernalillo NM","Albuquerque, NM Metropolitan Statistical Area",662564,1 
"35003","99999"," ","Catron NM","99999",3725,1 
"35005","40740","Micro","Chaves NM","Roswell, NM Micropolitan Statistical Area",65645,1 
"35006","24380","Micro","Cibola NM","Grants, NM Micropolitan Statistical Area",27213,1 
"35007","99999"," ","Colfax NM","99999",13750,1 
"35009","17580","Micro","Curry NM","Clovis, NM Micropolitan Statistical Area",48376,1 
"35011","99999"," ","DeBaca NM","99999",2022,1 
"35013","29740","Metro","Dona Ana NM","Las Cruces, NM Metropolitan Statistical Area",209233,1 
"35015","16100","Micro","Eddy NM","Carlsbad-Artesia, NM Micropolitan Statistical Area",53829,1 
"35017","43500","Micro","Grant NM","Silver City, NM Micropolitan Statistical Area",29514,1 
"35019","99999"," ","Guadalupe NM","99999",4687,1 
"35021","99999"," ","Harding NM","99999",695,1 
"35023","99999"," ","Hidalgo NM","99999",4894,1 
"35025","26020","Micro","Lea NM","Hobbs, NM Micropolitan Statistical Area",64727,1 
"35027","40760","Micro","Lincoln NM","Ruidoso, NM Micropolitan Statistical Area",20497,1 
"35028","31060","Micro","Los Alamos NM","Los Alamos, NM Micropolitan Statistical Area",17950,1 
"35029","19700","Micro","Luna NM","Deming, NM Micropolitan Statistical Area",25095,1 
"35031","23700","Micro","McKinley NM","Gallup, NM Micropolitan Statistical Area",71492,1 
"35033","99999"," ","Mora NM","99999",4881,1 
"35035","10460","Micro","Otero NM","Alamogordo, NM Micropolitan Statistical Area",63797,1 
"35037","99999"," ","Quay NM","99999",9041,1 
"35039","21580","Micro","Rio Arriba NM","Espanola, NM Micropolitan Statistical Area",40246,1 
"35041","38780","Micro","Roosevelt NM","Portales, NM Micropolitan Statistical Area",19846,1 
"35043","10740","Metro","Sandoval NM","Albuquerque, NM Metropolitan Statistical Area",131561,1 
"35045","22140","Metro","San Juan NM","Farmington, NM Metropolitan Statistical Area",130044,1 
"35047","29780","Micro","San Miguel NM","Las Vegas, NM Micropolitan Statistical Area",29393,1 
"35049","42140","Metro","Santa Fe NM","Santa Fe, NM Metropolitan Statistical Area",144170,1 
"35051","99999"," ","Sierra NM","99999",11988,1 
"35053","99999"," ","Socorro NM","99999",17866,1 
"35055","45340","Micro","Taos NM","Taos, NM Micropolitan Statistical Area",32937,1 
"35057","10740","Metro","Torrance NM","Albuquerque, NM Metropolitan Statistical Area",16383,1 
"35059","99999"," ","Union NM","99999",4549,1 
"35061","10740","Metro","Valencia NM","Albuquerque, NM Metropolitan Statistical Area",76569,1 
"36001","10580","Metro","Albany NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",304204,1 
"36003","99999"," ","Allegany NY","99999",48946,1 
"36005","35620","Metro","Bronx NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",1385108,1 
"36007","13780","Metro","Broome NY","Binghamton, NY Metropolitan Statistical Area",200600,1 
"36009","36460","Micro","Cattaraugus NY","Olean, NY Micropolitan Statistical Area",80317,1 
"36011","12180","Micro","Cayuga NY","Auburn, NY Micropolitan Statistical Area",80026,1 
"36013","27460","Micro","Chautauqua NY","Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",134905,1 
"36015","21300","Metro","Chemung NY","Elmira, NY Metropolitan Statistical Area",88830,1 
"36017","99999"," ","Chenango NY","99999",50477,1 
"36019","38460","Micro","Clinton NY","Plattsburgh, NY Micropolitan Statistical Area",82128,1 
"36021","26460","Micro","Columbia NY","Hudson, NY Micropolitan Statistical Area",63096,1 
"36023","18660","Micro","Cortland NY","Cortland, NY Micropolitan Statistical Area",49336,1 
"36025","99999"," ","Delaware NY","99999",47980,1 
"36027","39100","Metro","Dutchess NY","Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",297488,1 
"36029","15380","Metro","Erie NY","Buffalo-Niagara Falls, NY Metropolitan Statistical Area",919040,1 
"36031","99999"," ","Essex NY","99999",39370,1 
"36033","31660","Micro","Franklin NY","Malone, NY Micropolitan Statistical Area",51599,1 
"36035","24100","Micro","Fulton NY","Gloversville, NY Micropolitan Statistical Area",55531,1 
"36037","12860","Micro","Genesee NY","Batavia, NY Micropolitan Statistical Area",60079,1 
"36039","99999"," ","Greene NY","99999",49221,1 
"36041","99999"," ","Hamilton NY","99999",4836,1 
"36043","46540","Metro","Herkimer NY","Utica-Rome, NY Metropolitan Statistical Area",64519,1 
"36045","48060","Micro","Jefferson NY","Watertown-Fort Drum, NY Micropolitan Statistical Area",116229,1 
"36047","35620","Metro","Kings NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",2504700,1 
"36049","99999"," ","Lewis NY","99999",27087,1 
"36051","40380","Metro","Livingston NY","Rochester, NY Metropolitan Statistical Area",65393,1 
"36053","45060","Metro","Madison NY","Syracuse, NY Metropolitan Statistical Area",73442,1 
"36055","40380","Metro","Monroe NY","Rochester, NY Metropolitan Statistical Area",744344,1 
"36057","11220","Micro","Montgomery NY","Amsterdam, NY Micropolitan Statistical Area",50219,1 
"36059","35620","Metro","Nassau NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",1339532,1 
"36061","35620","Metro","New York NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",1585873,1 
"36063","15380","Metro","Niagara NY","Buffalo-Niagara Falls, NY Metropolitan Statistical Area",216469,1 
"36065","46540","Metro","Oneida NY","Utica-Rome, NY Metropolitan Statistical Area",234878,1 
"36067","45060","Metro","Onondaga NY","Syracuse, NY Metropolitan Statistical Area",467026,1 
"36069","40380","Metro","Ontario NY","Rochester, NY Metropolitan Statistical Area",107931,1 
"36071","39100","Metro","Orange NY","Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",372813,1 
"36073","40380","Metro","Orleans NY","Rochester, NY Metropolitan Statistical Area",42883,1 
"36075","45060","Metro","Oswego NY","Syracuse, NY Metropolitan Statistical Area",122109,1 
"36077","36580","Micro","Otsego NY","Oneonta, NY Micropolitan Statistical Area",62259,1 
"36079","35620","Metro","Putnam NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",99710,1 
"36081","35620","Metro","Queens NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",2230722,1 
"36083","10580","Metro","Rensselaer NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",159429,1 
"36085","35620","Metro","Richmond NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",468730,1 
"36087","35620","Metro","Rockland NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",311687,1 
"36089","36300","Micro","St. Lawrence NY","Ogdensburg-Massena, NY Micropolitan Statistical Area",111944,1 
"36091","10580","Metro","Saratoga NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",219607,1 
"36093","10580","Metro","Schenectady NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",154727,1 
"36095","10580","Metro","Schoharie NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",32749,1 
"36097","99999"," ","Schuyler NY","99999",18343,1 
"36099","42900","Micro","Seneca NY","Seneca Falls, NY Micropolitan Statistical Area",35251,1 
"36101","18500","Micro","Steuben NY","Corning, NY Micropolitan Statistical Area",98990,1 
"36103","35620","Metro","Suffolk NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",1493350,1 
"36105","99999"," ","Sullivan NY","99999",77547,1 
"36107","13780","Metro","Tioga NY","Binghamton, NY Metropolitan Statistical Area",51125,1 
"36109","27060","Metro","Tompkins NY","Ithaca, NY Metropolitan Statistical Area",101564,1 
"36111","28740","Metro","Ulster NY","Kingston, NY Metropolitan Statistical Area",182493,1 
"36113","24020","Metro","Warren NY","Glens Falls, NY Metropolitan Statistical Area",65707,1 
"36115","24020","Metro","Washington NY","Glens Falls, NY Metropolitan Statistical Area",63216,1 
"36117","40380","Metro","Wayne NY","Rochester, NY Metropolitan Statistical Area",93772,1 
"36119","35620","Metro","Westchester NY","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",949113,1 
"36121","99999"," ","Wyoming NY","99999",42155,1 
"36123","99999"," ","Yates NY","99999",25348,1 
"37001","15500","Metro","Alamance NC","Burlington, NC Metropolitan Statistical Area",151131,1 
"37003","25860","Metro","Alexander NC","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",37198,1 
"37005","99999"," ","Alleghany NC","99999",11155,1 
"37007","16740","Metro","Anson NC","Charlotte-Gastonia-Rock Hill, NC-SC Metropolitan Statistical Area",26948,1 
"37009","99999"," ","Ashe NC","99999",27281,1 
"37011","99999"," ","Avery NC","99999",17797,1 
"37013","47820","Micro","Beaufort NC","Washington, NC Micropolitan Statistical Area",47759,1 
"37015","99999"," ","Bertie NC","99999",21282,1 
"37017","99999"," ","Bladen NC","99999",35190,1 
"37019","48900","Metro","Brunswick NC","Wilmington, NC Metropolitan Statistical Area",107431,1 
"37021","11700","Metro","Buncombe NC","Asheville, NC Metropolitan Statistical Area",238318,1 
"37023","25860","Metro","Burke NC","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",90912,1 
"37025","16740","Metro","Cabarrus NC","Charlotte-Gastonia-Rock Hill, NC-SC Metropolitan Statistical Area",178011,1 
"37027","25860","Metro","Caldwell NC","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",83029,1 
"37029","21020","Micro","Camden NC","Elizabeth City, NC Micropolitan Statistical Area",9980,1 
"37031","33980","Micro","Carteret NC","Morehead City, NC Micropolitan Statistical Area",66469,1 
"37033","99999"," ","Caswell NC","99999",23719,1 
"37035","25860","Metro","Catawba NC","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",154358,1 
"37037","20500","Metro","Chatham NC","Durham-Chapel Hill, NC Metropolitan Statistical Area",63505,1 
"37039","99999"," ","Cherokee NC","99999",27444,1 
"37041","99999"," ","Chowan NC","99999",14793,1 
"37043","99999"," ","Clay NC","99999",10587,1 
"37045","43140","Micro","Cleveland NC","Shelby, NC Micropolitan Statistical Area",98078,1 
"37047","99999"," ","Columbus NC","99999",58098,1 
"37049","35100","Micro","Craven NC","New Bern, NC Micropolitan Statistical Area",103505,1 
"37051","22180","Metro","Cumberland NC","Fayetteville, NC Metropolitan Statistical Area",319431,1 
"37053","47260","Metro","Currituck NC","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",23547,1 
"37055","28620","Micro","Dare NC","Kill Devil Hills, NC Micropolitan Statistical Area",33920,1 
"37057","45640","Micro","Davidson NC","Thomasville-Lexington, NC Micropolitan Statistical Area",162878,1 
"37059","49180","Metro","Davie NC","Winston-Salem, NC Metropolitan Statistical Area",41240,1 
"37061","99999"," ","Duplin NC","99999",58505,1 
"37063","20500","Metro","Durham NC","Durham-Chapel Hill, NC Metropolitan Statistical Area",267587,1 
"37065","40580","Metro","Edgecombe NC","Rocky Mount, NC Metropolitan Statistical Area",56552,1 
"37067","49180","Metro","Forsyth NC","Winston-Salem, NC Metropolitan Statistical Area",350670,1 
"37069","39580","Metro","Franklin NC","Raleigh-Cary, NC Metropolitan Statistical Area",60619,1 
"37071","16740","Metro","Gaston NC","Charlotte-Gastonia-Rock Hill, NC-SC Metropolitan Statistical Area",206086,1 
"37073","99999"," ","Gates NC","99999",12197,1 
"37075","99999"," ","Graham NC","99999",8861,1 
"37077","99999"," ","Granville NC","99999",59916,1 
"37079","24780","Metro","Greene NC","Greenville, NC Metropolitan Statistical Area",21362,1 
"37081","24660","Metro","Guilford NC","Greensboro-High Point, NC Metropolitan Statistical Area",488406,1 
"37083","40260","Micro","Halifax NC","Roanoke Rapids, NC Micropolitan Statistical Area",54691,1 
"37085","20380","Micro","Harnett NC","Dunn, NC Micropolitan Statistical Area",114678,1 
"37087","11700","Metro","Haywood NC","Asheville, NC Metropolitan Statistical Area",59036,1 
"37089","11700","Metro","Henderson NC","Asheville, NC Metropolitan Statistical Area",106740,1 
"37091","99999"," ","Hertford NC","99999",24669,1 
"37093","22180","Metro","Hoke NC","Fayetteville, NC Metropolitan Statistical Area",46952,1 
"37095","99999"," ","Hyde NC","99999",5810,1 
"37097","44380","Micro","Iredell NC","Statesville-Mooresville, NC Micropolitan Statistical Area",159437,1 
